narrative,sentiment,confidence,key_phrases,category,urgent
I just hung up the phone again with experian credit reporting agency as there is numerous errors on my credit report. The customer service rep was not helpful and would not re-dispute previous informa,negative,0.9,"experian credit reporting agency, customer service rep, numerous errors, previous information, first complaint, late payment, updated copy, wrong information, positive status, other complaint, XXXX shops, XXXX account, phone, letter, bank, XX/XX/XXXX, request, writing, proof, messages, 180 days, fact, charge, full, agent",Credit Reporting,False
I just viewed my results from experian and noticed that they re-inserted information that was previously corrected. My XXXX account/XXXX was reporting as accounts that are in good standing. I submitte,negative,0.94,"horrible credit reporting company, experian credit reporting agency, 30 day late payment, credit score, credit card, credit file, good standing, positive status, substantial proof, 30-45 days, incorrect information, information experian, XXXX account, results, accounts, letter, XX/XX/XXXX, year, system, complaint, mandee, process, time, effort",Credit Reporting,False
I have been disputing incorrect information on my credit report. XXXX is especially one account that is reporting that should be deleted. Today I attempted again for the 3rd time to access my experian,negative,0.9,"experian credit report, credit score, incorrect information, 3rd time, proper investigation, bad debt, wrong items, same thing, legal advise, wrong information, report number, last dispute, XXXX item, XXXX balance, one account, experian rep, point, company, full, charge, hold, false, complaint, hopes, business, updated",Credit Reporting,False
"I am a victim of identity theft. I have been a victim of identity theft for over 6 years. The following accounts and credit inquiries are unauthorized, fraudulent and the result of identity theft : XX",negative,0.94,"XXXX XXXX Bank XXXX, XXXX XXXX XXXX, identity theft, following accounts, credit inquiries, victim, 6 years, result, XXXX/XXXX",Fraud,True
"In XXXX, I requested my free annual credit report. After viewing my credit report, I noticed over XXXX credit/loan inquiries on my account that was not authorized by me. I contacted each company and w",negative,0.86,"free annual credit report, initial fraud alert, XXXX credit/loan inquiries, credit reports, hard inquiry, XXXX XXXX, XXXX inquires, account, company, open, information, home, XXXX/XXXX/XXXX, none, action, place, scores, house",Fraud,False
"XXXX XXXX, XXXX Chase Credit resolution Dept. 
XXXX XXXX XXXX XXXX 
XXXX, Oh XXXX To Whom It May Concern : Reference : XXXX business credit card account XXXX ( XXXX XXXX XXXX XXXX XXXX XXXX XXXX The a",mixed,0.83,"XXXX Chase Credit resolution Dept. XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX business credit card account XXXX, Chase Money Market Account, XXXX credit bureaus, customer service XXXX, higher interest rates, unwarranted late notices, accurate payment history, XXXX Ohio, XXXX scores, company bank account, XXXX problem, credit scores, bank policies, late fees, late payments, interest charges, insufficient funds, last year, first time, several people, viable argument, absorbitant fees, inaccurate data, resulting drop, negligent ability, identifying information, late charges, final bill, final payment, last bill, Reference, sale, balance, idea, alert, lady, name, phone, choice, everything, body, mistakes, situation, behalf, 8 years, Hundreds, thousands, dollars, sense, consumers, employee, attachment, someone",Credit Reporting,False
Wrong address listed on my Trans Union credit report. Never lived at XXXX XXXX in XXXX XXXX Michigan.,negative,1.0,"Trans Union credit report, XXXX XXXX Michigan, Wrong address",Credit Reporting,False
I keep noticing credit inquiries from a company called Clarity on my credit file that i did not authorize. I have never ordered a report or authorized this company to pull my credit report.,negative,0.97,"credit inquiries, credit file, credit report, company",Credit Reporting,False
I ordered a copy of my Clarity report. I do not know who this company is but I 'm denied for loans etc due to their reporting. I ordered my file from Clarity and i have noticed many items that are bei,negative,0.79,"XXXX other accounts, many items, Clarity report, XXXX accounts, copy, company, loans, reporting, file, companies, agreements, XX/XX/XXXX, names",Other,False
"XXXX XXXX XXXX a debt collector illegally obtained my private confidential non-public information, credit report and is reporting "" XXXX '' fraudulent accounts, amount, and other information without c",negative,0.91,"private confidential non-public information, same fictitious account numbers, The XXXX fraudulent accounts, XXXX XXXX XXXX, other information, credit report, varying data, debt collector, amount, consent, Equifax, creditor, verification, alleged, debts",Fraud,False
"My inquiry  to the County Recorder of Deeds and U. S. Bankruptcy Courts confir med TransUnion Credit Bureau has never validated or verified these public record entries on my credit report, neither wil",negative,0.87,"U. S. Bankruptcy Courts confir, Fair Credit Reporting Act violation, Federal Credit Reporting Act, e Public Record Accounts, public record entries, third party sources, social security number, public recor ds, The Credit Bureau, INCORRECT public records, TransUnion Credit Bureau, erroneous account information, reporting services, credit file, Federal Law, public information, bankruptcy information, County Recorder, most cases, court order, full compliance, physical verification, multiple attempts, actual person, FCRA laws, consumer contract, inquiry, Deeds, MISUSE, distribution, ares, copies, documentation, authorization, release, signature, meantime, guidelines, name, 30 days, investigation, Section 609, original, judgment, fax, mail, fraudulent, help, matter, removal",Fraud,False
"I have asked over and over to have Transunion to removed all non account inquires off my credit report due to the fact that I did n't not give my permission to have my credit ran, I am within my right",negative,0.69,"non account holding companies, non account inquires, credit report, Transunion, fact, permission, right, mail, signature",Credit Reporting,False
"Experian is in violation of FCRA, and has FAILED to provide PROOF for it 's actions. 

According to the Fair Credit Reporting Act, credit grantors with a 'permissible purpose ' may inquire about credi",negative,0.93,"XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX, Fair Credit Reporting Act, XXXX Bank XXXX, personally identifiable information, credit history inquires, credit information, credit grantors, permissible purpose, public platform, commercial purposes, following companies, Comments Section, Experian, violation, FCRA, PROOF, actions, Requests, others, name, AUTHORISATION, inquiries, inquiry, record, permission",Credit Reporting,False
"In violation of FCRA, the above mentioned credit report by Equifax , a section of "" Inquiries that are not considered when evaluating your credit worthiness '' contains name of the following companies",neutral,0.83,"XXXX XXXX XXXX XXXX XXXX, EQUIFAX INFO XXXXCompany Information, EQUIFAX INFO XXXX Information, XXXX XXXX Information, personally identifiable information, credit report, credit worthiness, following companies, credit history, PUBLIC platform, COMMERCIAL purposes, violation, FCRA, section, Inquiries, name, authorisation, OPT",Credit Reporting,False
